"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
450;30-39;116;2021-04-16
461;30-39;1064;2021-04-16
479;30-39;123;2021-04-16
480;30-39;73;2021-04-16
482;30-39;14;2021-04-16
492;30-39;1;2021-04-16
510;30-39;108;2021-04-16
530;30-39;96;2021-04-16
540;30-39;183;2021-04-16
550;30-39;77;2021-04-16
561;30-39;411;2021-04-16
563;30-39;6;2021-04-16
573;30-39;162;2021-04-16
575;30-39;140;2021-04-16
580;30-39;158;2021-04-16
607;30-39;176;2021-04-16
615;30-39;411;2021-04-16
621;30-39;514;2021-04-16
630;30-39;600;2021-04-16
657;30-39;333;2021-04-16
661;30-39;219;2021-04-16
665;30-39;51;2021-04-16
671;30-39;79;2021-04-16
706;30-39;83;2021-04-16
707;30-39;81;2021-04-16
710;30-39;167;2021-04-16
727;30-39;62;2021-04-16
730;30-39;383;2021-04-16
740;30-39;340;2021-04-16
741;30-39;7;2021-04-16
746;30-39;265;2021-04-16
751;30-39;2075;2021-04-16
756;30-39;121;2021-04-16
760;30-39;139;2021-04-16
766;30-39;138;2021-04-16
773;30-39;45;2021-04-16
779;30-39;100;2021-04-16
787;30-39;123;2021-04-16
791;30-39;246;2021-04-16
810;30-39;138;2021-04-16
813;30-39;152;2021-04-16
820;30-39;115;2021-04-16
840;30-39;106;2021-04-16
846;30-39;129;2021-04-16
849;30-39;122;2021-04-16
851;30-39;826;2021-04-16
860;30-39;177;2021-04-16
961;30-39;1;2021-04-16
;40-49;310;2021-04-16
011;40-49;215;2021-04-16
012;40-49;2;2021-04-16
019;40-49;19;2021-04-16
101;40-49;5551;2021-04-16
147;40-49;845;2021-04-16
151;40-49;521;2021-04-16
153;40-49;472;2021-04-16
155;40-49;113;2021-04-16
157;40-49;601;2021-04-16
159;40-49;678;2021-04-16
161;40-49;239;2021-04-16
163;40-49;365;2021-04-16
165;40-49;381;2021-04-16
167;40-49;630;2021-04-16
169;40-49;674;2021-04-16
173;40-49;402;2021-04-16
175;40-49;494;2021-04-16
183;40-49;411;2021-04-16
185;40-49;494;2021-04-16
187;40-49;234;2021-04-16
190;40-49;308;2021-04-16
201;40-49;150;2021-04-16
210;40-49;315;2021-04-16
217;40-49;501;2021-04-16
219;40-49;345;2021-04-16
223;40-49;149;2021-04-16
230;40-49;403;2021-04-16
240;40-49;429;2021-04-16
250;40-49;275;2021-04-16
253;40-49;530;2021-04-16
259;40-49;494;2021-04-16
260;40-49;156;2021-04-16
265;40-49;574;2021-04-16
269;40-49;237;2021-04-16
270;40-49;247;2021-04-16
306;40-49;134;2021-04-16
316;40-49;438;2021-04-16
320;40-49;236;2021-04-16
326;40-49;216;2021-04-16
329;40-49;266;2021-04-16
330;40-49;614;2021-04-16
336;40-49;140;2021-04-16
340;40-49;166;2021-04-16
350;40-49;204;2021-04-16
360;40-49;183;2021-04-16
370;40-49;456;2021-04-16
376;40-49;238;2021-04-16
390;40-49;199;2021-04-16
400;40-49;89;2021-04-16
410;40-49;144;2021-04-16
420;40-49;113;2021-04-16
430;40-49;164;2021-04-16
440;40-49;100;2021-04-16
450;40-49;141;2021-04-16
461;40-49;977;2021-04-16
479;40-49;229;2021-04-16
480;40-49;108;2021-04-16
482;40-49;19;2021-04-16
492;40-49;5;2021-04-16
510;40-49;157;2021-04-16
530;40-49;112;2021-04-16
540;40-49;331;2021-04-16
550;40-49;108;2021-04-16
561;40-49;512;2021-04-16
563;40-49;11;2021-04-16
573;40-49;175;2021-04-16
575;40-49;192;2021-04-16
580;40-49;176;2021-04-16
607;40-49;223;2021-04-16
615;40-49;461;2021-04-16
621;40-49;517;2021-04-16
630;40-49;581;2021-04-16
657;40-49;344;2021-04-16
661;40-49;297;2021-04-16
665;40-49;44;2021-04-16
671;40-49;106;2021-04-16
706;40-49;127;2021-04-16
707;40-49;101;2021-04-16
710;40-49;212;2021-04-16
727;40-49;96;2021-04-16
730;40-49;429;2021-04-16
740;40-49;423;2021-04-16
741;40-49;7;2021-04-16
746;40-49;357;2021-04-16
751;40-49;1781;2021-04-16
756;40-49;167;2021-04-16
760;40-49;150;2021-04-16
766;40-49;218;2021-04-16
773;40-49;87;2021-04-16
779;40-49;126;2021-04-16
787;40-49;131;2021-04-16
791;40-49;330;2021-04-16
810;40-49;136;2021-04-16
813;40-49;185;2021-04-16
820;40-49;109;2021-04-16
825;40-49;5;2021-04-16
840;40-49;107;2021-04-16
846;40-49;158;2021-04-16
849;40-49;153;2021-04-16
851;40-49;850;2021-04-16
860;40-49;212;2021-04-16
;50-59;225;2021-04-16
011;50-59;119;2021-04-16
012;50-59;2;2021-04-16
019;50-59;8;2021-04-16
101;50-59;4570;2021-04-16
147;50-59;729;2021-04-16
151;50-59;540;2021-04-16
153;50-59;416;2021-04-16
155;50-59;133;2021-04-16
157;50-59;637;2021-04-16
159;50-59;660;2021-04-16
161;50-59;208;2021-04-16
163;50-59;332;2021-04-16
165;50-59;318;2021-04-16
167;50-59;519;2021-04-16
169;50-59;535;2021-04-16
173;50-59;403;2021-04-16
175;50-59;394;2021-04-16
183;50-59;357;2021-04-16
185;50-59;393;2021-04-16
187;50-59;172;2021-04-16
190;50-59;310;2021-04-16
201;50-59;179;2021-04-16
210;50-59;349;2021-04-16
217;50-59;610;2021-04-16
219;50-59;395;2021-04-16
223;50-59;216;2021-04-16
230;50-59;492;2021-04-16
240;50-59;420;2021-04-16
250;50-59;308;2021-04-16
253;50-59;481;2021-04-16
259;50-59;556;2021-04-16
260;50-59;177;2021-04-16
265;50-59;589;2021-04-16
